血战钢锯岭,2016,8.7,736420
模仿游戏,2014,8.8,596866
喜宴,1993,9.0,326925
七武士,1954,9.3,181465
花样年华,2000,8.7,552172
黑客帝国3：矩阵革命,2003,8.8,417759
头脑特工队,2015,8.8,562021
电锯惊魂,2004,8.7,490056
三块广告牌,2017,8.7,768504
九品芝麻官,1994,8.7,607627
达拉斯买家俱乐部,2013,8.8,423070
你的名字。,2016,8.5,1290001
卢旺达饭店,2004,8.9,303599
疯狂原始人,2013,8.7,787138
上帝之城,2002,9.0,283028
惊魂记,1960,9.0,259152
谍影重重3,2007,8.8,391418
心迷宫,2014,8.7,476736
风之谷,1984,8.9,334979
英雄本色,1986,8.6,494347
纵横四海,1991,8.8,390117
海街日记,2015,8.8,411273
岁月神偷,2010,8.7,547521
记忆碎片,2000,8.7,564255
色，戒,2007,8.6,703408
忠犬八公物语,1987,9.2,179222
爱在午夜降临前,2013,8.9,359793
绿里奇迹,1999,8.9,297559
荒蛮故事,2014,8.8,410462
爆裂鼓手,2014,8.7,538931
茶馆,1982(中国大陆),9.5,111909
小偷家族,2018,8.7,766100
贫民窟的百万富翁,2008,8.6,703084
无敌破坏王,2012,8.7,497554
疯狂的石头,2006,8.5,757749
东邪西毒,1994,8.6,540421
真爱至上,2003,8.6,680872
冰川时代,2002,8.6,572711
雨中曲,1952,9.1,201863
恐怖游轮,2009,8.5,782490
你看起来好像很好吃,2010,8.9,311334
黑天鹅,2010,8.6,743310
2001太空漫游,1968,8.9,289838
魔女宅急便,1989,8.7,425003
雨人,1988,8.7,378740
恋恋笔记本,2004,8.6,622477
无间道2,2003,8.7,427145
遗愿清单,2007,8.7,409718
牯岭街少年杀人事件,1991,8.9,265097
大佛普拉斯,2017,8.7,410188
可可西里,2004,8.9,280202
城市之光,1931,9.3,132359
背靠背，脸对脸,1994,9.5,109356
小丑,2019,8.7,934486
萤火虫之墓,1988,8.7,384936
东京教父,2003,9.0,196010
源代码,2011,8.5,782226
虎口脱险,1966,8.9,234775
初恋这件小事,2010,8.5,931163
人工智能,2001,8.7,412643
海边的曼彻斯特,2016,8.6,471698
罗生门,1950,8.8,290399
青蛇,1993,8.6,485767
终结者2：审判日,1991,8.8,317795
波西米亚狂想曲,2018,8.6,556025
奇迹男孩,2017,8.6,520964
二十二,2015,8.7,277118
疯狂的麦克斯4：狂暴之路,2015,8.6,488679
新龙门客栈,1992,8.7,410818
心灵奇旅,2020,8.7,886056
房间,2015,8.8,350881
无耻混蛋,2009,8.6,439982
千钧一发,1997,8.8,266877
血钻,2006,8.7,351819
步履不停,2008,8.8,257742
魂断蓝桥,1940,8.8,258048
黑客帝国2：重装上阵,2003,8.7,378390
彗星来的那一夜,2013,8.5,520858
崖上的波妞,2008,8.6,447000
战争之王,2005,8.7,338514
爱乐之城,2016,8.4,812780
谍影重重2,2004,8.7,328438
燃情岁月,1994,8.8,268840
末路狂花,1991,8.9,219734
火星救援,2015,8.5,665209
阿飞正传,1990,8.5,471106
谍影重重,2002,8.6,395260
再次出发之纽约遇见你,2013,8.6,399957
海洋,2009,9.1,150867
千年女优,2001,8.8,235671
朗读者,2008,8.6,431723
穿越时空的少女,2006,8.6,359116
香水,2006,8.5,513896
地球上的星星,2007,8.9,191903
我爱你,2011,9.1,154492
完美陌生人,2016,8.5,495440
弱点,2009,8.7,269542
花束般的恋爱,2021,8.6,478750
驴得水,2016,8.3,863846
肖申克的救赎,1994,9.7,2678205
霸王别姬,1993,9.6,1987066
阿甘正传,1994,9.5,2011820
泰坦尼克号,1997,9.4,1970767
这个杀手不太冷,1994,9.4,2156088
美丽人生,1997,9.6,1235425
千与千寻,2001,9.4,2087752
辛德勒的名单,1993,9.6,1030586
盗梦空间,2010,9.4,1925267
星际穿越,2014,9.4,1626492
忠犬八公的故事,2009,9.4,1313948
楚门的世界,1998,9.3,1546037
海上钢琴师,1998,9.3,1567843
三傻大闹宝莱坞,2009,9.2,1744210
机器人总动员,2008,9.3,1232791
放牛班的春天,2004,9.3,1216518
无间道,2002,9.3,1246009
疯狂动物城,2016,9.2,1768289
大话西游之大圣娶亲,1995,9.2,1430151
熔炉,2011,9.3,870634
控方证人,1957,9.6,483270
教父,1972,9.3,891302
当幸福来敲门,2006,9.2,1419960
触不可及,2011,9.3,1005102
怦然心动,2010,9.1,1706088
龙猫,1988,9.2,1179688
末代皇帝,1987,9.3,800627
寻梦环游记,2017,9.1,1527642
蝙蝠侠：黑暗骑士,2008,9.2,984476
活着,1994,9.3,771074
哈利·波特与魔法石,2001,9.2,1076747
指环王3：王者无敌,2003,9.3,744629
乱世佳人,1939,9.3,642122
素媛,2013,9.3,633191
飞屋环游记,2009,9.1,1234557
我不是药神,2018,9.0,1955743
摔跤吧！爸爸,2016,9.0,1466884
何以为家,2018,9.1,965881
十二怒汉,1957,9.4,446019
哈尔的移动城堡,2004,9.1,938875
少年派的奇幻漂流,2012,9.1,1267838
鬼子来了,2000,9.3,578083
猫鼠游戏,2002,9.1,917839
大话西游之月光宝盒,1995,9.0,1139733
天空之城,1986,9.1,765427
让子弹飞,2010,9.0,1565407
钢琴家,2002,9.3,568324
指环王2：双塔奇兵,2002,9.2,695736
闻香识女人,1992,9.1,812668
天堂电影院,1988,9.2,640562
海蒂和爷爷,2015,9.3,518587
罗马假日,1953,9.1,892702
黑客帝国,1999,9.1,781786
指环王1：护戒使者,2001,9.1,785519
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,396680
死亡诗社,1989,9.1,658171
教父2,1974,9.3,505764
绿皮书,2018,8.9,1506455
