喜宴,1993,9,326914
七武士,1954,9.3,181465
花样年华,2000,8.7,552172
黑客帝国3：矩阵革命,2003,8.8,417758
头脑特工队,2015,8.8,562021
电锯惊魂,2004,8.7,490056
三块广告牌,2017,8.7,768497
九品芝麻官,1994,8.7,607625
达拉斯买家俱乐部,2013,8.8,423067
你的名字。,2016,8.5,1289994
卢旺达饭店,2004,8.9,303598
疯狂原始人,2013,8.7,787135
上帝之城,2002,9,283028
惊魂记,1960,9,259151
谍影重重3,2007,8.8,391415
心迷宫,2014,8.7,476730
风之谷,1984,8.9,334974
英雄本色,1986,8.6,494338
纵横四海,1991,8.8,390116
海街日记,2015,8.8,411271
岁月神偷,2010,8.7,547519
记忆碎片,2000,8.7,564249
色，戒,2007,8.6,703399
忠犬八公物语,1987,9.2,179222
爱在午夜降临前,2013,8.9,359785
绿里奇迹,1999,8.9,297559
荒蛮故事,2014,8.8,410460
爆裂鼓手,2014,8.7,538927
茶馆,1982(中国大陆),9.5,111909
小偷家族,2018,8.7,766100
贫民窟的百万富翁,2008,8.6,703078
无敌破坏王,2012,8.7,497547
疯狂的石头,2006,8.5,757749
东邪西毒,1994,8.6,540416
真爱至上,2003,8.6,680868
冰川时代,2002,8.6,572707
雨中曲,1952,9.1,201863
恐怖游轮,2009,8.5,782485
你看起来好像很好吃,2010,8.9,311333
黑天鹅,2010,8.6,743310
2001太空漫游,1968,8.9,289838
魔女宅急便,1989,8.7,424998
雨人,1988,8.7,378738
恋恋笔记本,2004,8.6,622472
无间道2,2003,8.7,427103
遗愿清单,2007,8.7,409710
牯岭街少年杀人事件,1991,8.9,265096
大佛普拉斯,2017,8.7,410186
可可西里,2004,8.9,280202
城市之光,1931,9.3,132359
背靠背，脸对脸,1994,9.5,109355
小丑,2019,8.7,934486
萤火虫之墓,1988,8.7,384936
东京教父,2003,9,196006
源代码,2011,8.5,782222
虎口脱险,1966,8.9,234773
初恋这件小事,2010,8.5,931161
人工智能,2001,8.7,412641
海边的曼彻斯特,2016,8.6,471696
罗生门,1950,8.8,290399
青蛇,1993,8.6,485764
终结者2：审判日,1991,8.8,317794
波西米亚狂想曲,2018,8.6,556022
奇迹男孩,2017,8.6,520964
二十二,2015,8.7,277118
疯狂的麦克斯4：狂暴之路,2015,8.6,488674
新龙门客栈,1992,8.7,410814
心灵奇旅,2020,8.7,886056
房间,2015,8.8,350875
无耻混蛋,2009,8.6,439982
千钧一发,1997,8.8,266870
血钻,2006,8.7,351816
步履不停,2008,8.8,257741
魂断蓝桥,1940,8.8,258048
黑客帝国2：重装上阵,2003,8.7,378387
彗星来的那一夜,2013,8.5,520855
崖上的波妞,2008,8.6,447000
战争之王,2005,8.7,338511
爱乐之城,2016,8.4,812760
谍影重重2,2004,8.7,328437
燃情岁月,1994,8.8,268838
末路狂花,1991,8.9,219733
火星救援,2015,8.5,665208
阿飞正传,1990,8.5,471099
谍影重重,2002,8.6,395258
再次出发之纽约遇见你,2013,8.6,399955
海洋,2009,9.1,150867
千年女优,2001,8.8,235670
朗读者,2008,8.6,431722
穿越时空的少女,2006,8.6,359113
香水,2006,8.5,513895
地球上的星星,2007,8.9,191901
我爱你,2011,9.1,154491
完美陌生人,2016,8.5,495436
弱点,2009,8.7,269535
花束般的恋爱,2021,8.6,478727
驴得水,2016,8.3,863825
