2025-03-26 09:57:28 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 09:57:29 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 09:57:29 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 09:57:29 | app_log      | INFO     | ptvicomo_controller.py:133 | PtvicomoController加载成功
2025-03-26 09:58:00 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 09:58:01 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 09:58:01 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 09:58:01 | app_log      | INFO     | ptvicomo_controller.py:133 | PtvicomoController加载成功
2025-03-26 10:03:52 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 10:03:52 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 10:03:52 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 10:03:52 | app_log      | INFO     | ptvicomo_controller.py:136 | PtvicomoController加载成功
2025-03-26 10:06:19 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 10:06:19 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 10:06:19 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 10:06:19 | app_log      | INFO     | ptvicomo_controller.py:135 | PtvicomoController加载成功
2025-03-26 10:12:03 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 10:12:03 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 10:12:03 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 10:12:03 | app_log      | INFO     | ptvicomo_controller.py:135 | PtvicomoController加载成功
2025-03-26 10:13:07 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 10:13:08 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 10:13:08 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 10:13:08 | app_log      | INFO     | ptvicomo_controller.py:135 | PtvicomoController加载成功
2025-03-26 10:15:00 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 10:15:00 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 10:15:00 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 10:15:00 | app_log      | INFO     | ptvicomo_controller.py:135 | PtvicomoController加载成功
2025-03-26 10:23:52 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 10:23:52 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 10:23:52 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 10:23:52 | app_log      | INFO     | ptvicomo_controller.py:141 | PtvicomoController加载成功
2025-03-26 10:29:03 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 10:29:04 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 10:29:04 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 10:29:04 | app_log      | INFO     | ptvicomo_controller.py:142 | PtvicomoController加载成功
2025-03-26 12:30:41 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 12:30:41 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 12:30:41 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 12:30:41 | app_log      | INFO     | ptvicomo_controller.py:141 | PtvicomoController加载成功
2025-03-26 16:38:17 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 16:38:17 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 16:38:17 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 16:38:17 | app_log      | INFO     | ptvicomo_controller.py:132 | PtvicomoController加载成功
2025-03-26 16:44:11 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 16:44:12 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 16:44:12 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 16:44:12 | app_log      | INFO     | ptvicomo_controller.py:133 | PtvicomoController加载成功
2025-03-26 16:45:52 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 16:45:53 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 16:45:53 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 16:45:53 | app_log      | INFO     | ptvicomo_controller.py:135 | PtvicomoController加载成功
2025-03-26 16:53:41 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 16:53:41 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 16:53:41 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 16:53:41 | app_log      | INFO     | ptvicomo_controller.py:145 | PtvicomoController加载成功
2025-03-26 16:57:41 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 16:57:41 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 16:57:41 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 16:57:41 | app_log      | INFO     | ptvicomo_controller.py:149 | PtvicomoController加载成功
2025-03-26 16:59:06 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 16:59:07 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 16:59:07 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
2025-03-26 16:59:07 | app_log      | INFO     | ptvicomo_controller.py:149 | PtvicomoController加载成功
2025-03-26 17:09:39 | app_log      | INFO     | main.py:240 | main.py加载正常
2025-03-26 17:09:39 | app_log      | INFO     | wowjump_controller.py:51 | WoWJumpController加载成功
2025-03-26 17:09:39 | app_log      | INFO     | wowjump_controller.py:64 | 连接按钮事件成功
